image_id,width,height,class_id,x,y,w,h
0_MS_01,500,672,0,100.0,57.0,311.0,556.0
0_MS_02,500,876,0,46.0,36.0,391.0,794.0
0_MT_01,500,337,0,81.0,108.0,322.0,124.0
0_MT_02,500,231,0,28.0,35.0,438.0,161.0
0_MT_03,500,221,0,21.0,14.0,454.0,187.0
10_MS_101,500,510,10,58.0,64.0,375.0,374.0
10_MS_102,500,545,10,27.0,27.0,443.0,486.0
10_MS_103,500,514,10,46.0,24.0,419.0,462.0
10_MT_101,500,389,10,119.0,50.0,259.0,266.0
10_MT_102,500,458,10,95.0,57.0,322.0,358.0
10_MT_103,500,438,10,41.0,14.0,424.0,407.0
11_MS_111,500,490,11,72.0,65.0,360.0,353.0
11_MT_111,500,383,11,122.0,67.0,251.0,246.0
11_MT_112,500,474,11,105.0,75.0,281.0,305.0
11_MT_113,500,452,11,120.0,78.0,263.0,267.0
11_MT_114,500,488,11,44.0,22.0,416.0,434.0
12_MS_121,500,274,12,43.0,38.0,416.0,177.0
12_MS_122,500,281,12,16.0,25.0,459.0,223.0
12_MT_121,500,278,12,82.0,68.0,362.0,156.0
12_MT_122,500,339,12,47.0,65.0,394.0,192.0
12_MT_123,500,258,12,25.0,23.0,451.0,206.0
13_MS_131,500,247,13,26.0,17.0,452.0,213.0
13_MS_132,500,963,13,43.0,29.0,410.0,890.0
13_MT_131,500,234,13,50.0,46.0,411.0,151.0
13_MT_132,500,1123,13,64.0,69.0,366.0,972.0
13_MT_133,500,236,13,23.0,20.0,452.0,195.0
13_MT_134,500,221,13,14.0,11.0,471.0,194.0
14_MS_141,500,226,14,29.0,30.0,442.0,179.0
14_MS_142,500,963,14,71.0,33.0,370.0,889.0
14_MT_141,500,1216,14,44.0,57.0,402.0,1092.0
14_MT_142,500,229,14,54.0,42.0,401.0,145.0
14_MT_143,500,228,14,15.0,19.0,466.0,190.0
14_MT_144,500,214,14,17.0,17.0,461.0,180.0
14_MT_145,500,207,14,17.0,12.0,465.0,181.0
15_MS_151,500,500,15,39.0,20.0,433.0,450.0
15_MS_152,500,503,15,19.0,10.0,463.0,481.0
15_MT_151,500,474,15,40.0,23.0,421.0,407.0
15_MT_152,500,492,15,29.0,16.0,440.0,456.0
16_MS_161,500,964,16,36.0,28.0,419.0,882.0
16_MS_162,500,275,16,21.0,19.0,456.0,233.0
16_MT_161,500,1010,16,26.0,28.0,435.0,935.0
16_MT_162,500,237,16,50.0,23.0,385.0,178.0
16_MT_163,500,266,16,20.0,16.0,466.0,234.0
17_MS_171,500,500,17,129.0,54.0,310.0,271.0
17_MS_172,500,470,17,41.0,27.0,418.0,411.0
17_MS_173,500,479,17,37.0,16.0,430.0,433.0
17_MT_171,500,416,17,93.0,55.0,332.0,332.0
17_MT_172,500,479,17,55.0,31.0,396.0,400.0
17_MT_173,500,495,17,477.0,489.0,9.0,1.0
17_MT_173,500,495,17,466.0,489.0,6.0,1.0
17_MT_173,500,495,17,461.0,489.0,2.0,1.0
17_MT_173,500,495,17,36.0,25.0,464.0,460.0
18_MS_181,500,486,18,43.0,40.0,419.0,394.0
18_MT_181,500,527,18,67.0,58.0,366.0,389.0
18_MT_182,500,475,18,24.0,25.0,448.0,421.0
18_MT_183,500,515,18,34.0,28.0,430.0,453.0
19_MS_191,500,491,19,19.0,19.0,457.0,440.0
19_MT_191,500,512,19,37.0,22.0,421.0,437.0
19_MT_192,500,515,19,23.0,31.0,457.0,440.0
19_MT_193,500,500,19,20.0,11.0,455.0,472.0
1_MS_11,500,439,1,92.0,66.0,302.0,293.0
1_MS_12,500,499,1,38.0,37.0,421.0,413.0
1_MS_13,500,441,1,46.0,22.0,402.0,384.0
1_MT_11,500,342,1,137.0,62.0,225.0,214.0
1_MT_12,500,440,1,71.0,37.0,346.0,328.0
1_MT_13,500,468,1,66.0,42.0,367.0,370.0
20_MS_201,500,483,20,63.0,56.0,372.0,373.0
20_MS_202,500,510,20,46.0,30.0,406.0,427.0
20_MT_201,500,482,20,106.0,92.0,314.0,313.0
20_MT_202,500,490,20,46.0,28.0,415.0,420.0
20_MT_203,500,503,20,40.0,21.0,424.0,448.0
21_MS_211,500,454,21,54.0,32.0,393.0,347.0
21_MS_212,500,502,21,39.0,33.0,461.0,447.0
21_MT_211,500,531,21,99.0,91.0,326.0,335.0
21_MT_212,500,453,21,43.0,23.0,409.0,368.0
21_MT_213,500,503,21,42.0,28.0,421.0,433.0
21_MT_214,500,505,21,49.0,43.0,406.0,417.0
22_MS_221,500,516,22,41.0,24.0,427.0,457.0
22_MS_222,500,492,22,28.0,15.0,444.0,453.0
22_MT_221,500,530,22,47.0,35.0,406.0,450.0
22_MT_222,500,508,22,28.0,14.0,439.0,470.0
22_MT_223,500,504,22,22.0,23.0,452.0,451.0
23_MS_231,500,531,23,45.0,24.0,438.0,469.0
23_MS_232,500,531,23,29.0,23.0,448.0,482.0
23_MT_231,500,537,23,57.0,35.0,400.0,450.0
23_MT_232,500,528,23,30.0,28.0,430.0,459.0
23_MT_233,500,508,23,20.0,13.0,460.0,478.0
24_MS_241,500,312,24,29.0,17.0,447.0,272.0
24_MS_242,500,796,24,23.0,17.0,447.0,760.0
24_MT_241,500,800,24,51.0,40.0,404.0,695.0
24_MT_242,500,257,24,15.0,0.0,466.0,242.0
24_MT_243,500,307,24,24.0,11.0,450.0,280.0
25_MS_251,500,996,25,40.0,38.0,416.0,903.0
25_MS_252,500,268,25,15.0,11.0,473.0,241.0
25_MT_251,500,879,25,59.0,35.0,375.0,805.0
25_MT_252,500,199,25,18.0,0.0,463.0,186.0
25_MT_253,500,256,25,17.0,14.0,463.0,228.0
25_MT_254,500,390,25,0.0,21.0,486.0,348.0
26_MS_261,500,473,26,47.0,28.0,406.0,403.0
26_MS_262,500,507,26,29.0,24.0,441.0,453.0
26_MS_263,500,506,26,20.0,20.0,457.0,464.0
26_MT_261,500,490,26,47.0,27.0,412.0,417.0
26_MT_262,500,479,26,30.0,11.0,440.0,449.0
26_MT_263,500,489,26,27.0,17.0,433.0,452.0
27_MS_271,500,513,27,47.0,43.0,410.0,410.0
27_MS_272,500,447,27,12.0,0.0,452.0,422.0
27_MS_273,500,485,27,491.0,446.0,1.0,2.0
27_MS_273,500,485,27,486.0,347.0,1.0,3.0
27_MS_273,500,485,27,497.0,265.0,3.0,6.0
27_MS_273,500,485,27,497.0,259.0,1.0,5.0
27_MS_273,500,485,27,32.0,15.0,468.0,467.0
27_MS_274,500,666,27,337.0,509.0,50.0,49.0
27_MS_274,500,666,27,94.0,490.0,75.0,79.0
27_MS_274,500,666,27,245.0,172.0,221.0,199.0
27_MS_274,500,666,27,47.0,125.0,148.0,275.0
27_MT_271,500,454,27,59.0,30.0,374.0,374.0
27_MT_272,500,496,27,26.0,29.0,434.0,433.0
27_MT_273,500,482,27,20.0,11.0,457.0,471.0
27_MT_274,500,686,27,44.0,23.0,456.0,663.0
28_MS_281,500,785,28,53.0,15.0,415.0,752.0
28_MS_282,500,296,28,14.0,8.0,475.0,276.0
28_MT_281,500,827,28,46.0,36.0,407.0,747.0
28_MT_282,500,308,28,20.0,14.0,460.0,275.0
29_MS_291,500,539,29,21.0,17.0,458.0,497.0
29_MS_292,500,509,29,10.0,11.0,478.0,498.0
29_MT_291,500,533,29,34.0,21.0,434.0,483.0
29_MT_292,500,486,29,478.0,480.0,2.0,1.0
29_MT_292,500,486,29,34.0,19.0,466.0,467.0
2_MS_21,500,452,2,92.0,73.0,305.0,304.0
2_MS_22,500,460,2,52.0,25.0,384.0,391.0
2_MT_21,500,367,2,150.0,104.0,179.0,180.0
2_MT_22,500,417,2,87.0,68.0,286.0,256.0
2_MT_23,500,435,2,75.0,60.0,335.0,314.0
2_MT_24,500,492,2,50.0,25.0,399.0,426.0
30_MS_301,500,376,30,25.0,31.0,449.0,306.0
30_MS_302,500,747,30,35.0,25.0,442.0,688.0
30_MT_301,500,757,30,50.0,45.0,399.0,649.0
30_MT_302,500,354,30,19.0,24.0,456.0,306.0
31_MS_311,500,486,31,54.0,31.0,414.0,418.0
31_MS_312,500,485,31,34.0,18.0,430.0,435.0
31_MS_313,500,531,31,21.0,28.0,450.0,465.0
31_MT_311,500,482,31,44.0,31.0,409.0,405.0
31_MT_312,500,519,31,21.0,19.0,456.0,475.0
32_MS_321,500,736,32,35.0,14.0,423.0,691.0
32_MS_322,500,314,32,11.0,10.0,475.0,292.0
32_MT_321,500,297,32,30.0,35.0,434.0,222.0
32_MT_322,500,912,32,34.0,18.0,433.0,866.0
33_MS_331,500,468,33,51.0,38.0,403.0,385.0
33_MS_332,500,510,33,25.0,17.0,453.0,467.0
33_MT_331,500,467,33,40.0,32.0,432.0,399.0
33_MT_332,500,521,33,26.0,16.0,449.0,473.0
34_MS_341,500,452,34,48.0,19.0,415.0,403.0
34_MS_342,500,486,34,25.0,10.0,457.0,462.0
34_MT_341,500,500,34,35.0,41.0,431.0,414.0
35_MS_351,500,332,35,13.0,13.0,467.0,294.0
35_MS_352,500,750,35,38.0,16.0,426.0,707.0
35_MT_351,500,501,35,29.0,25.0,440.0,437.0
35_MT_352,500,506,35,29.0,20.0,449.0,465.0
36_MS_361,500,937,36,47.0,18.0,383.0,873.0
36_MS_362,500,245,36,14.0,9.0,473.0,219.0
36_MT_361,500,985,36,50.0,43.0,400.0,900.0
36_MT_362,500,243,36,18.0,15.0,460.0,212.0
37_MT_371,500,1070,37,42.0,22.0,423.0,1001.0
38_MT_381,500,889,38,52.0,20.0,406.0,828.0
39_MT_391,500,840,39,45.0,18.0,413.0,797.0
3_MS_31,500,274,3,43.0,22.0,413.0,209.0
3_MS_32,500,270,3,23.0,14.0,458.0,236.0
3_MT_31,500,302,3,95.0,66.0,333.0,160.0
3_MT_32,500,254,3,47.0,28.0,410.0,187.0
3_MT_33,500,288,3,31.0,25.0,438.0,237.0
40_MT_401,500,536,40,45.0,34.0,422.0,465.0
41_MT_411,500,528,41,28.0,21.0,444.0,474.0
42_MT_421,500,902,42,67.0,52.0,359.0,789.0
43_MT_431,500,796,43,48.0,41.0,396.0,730.0
44_MT_441,500,922,44,51.0,40.0,403.0,833.0
45_MT_451,500,523,45,27.0,41.0,440.0,449.0
46_MT_461,500,981,46,80.0,34.0,344.0,899.0
47_MT_471,500,1114,47,65.0,34.0,380.0,1020.0
48_MT_481,500,935,48,44.0,26.0,397.0,813.0
49_MT_491,500,483,49,48.0,27.0,418.0,412.0
4_MS_41,500,465,4,38.0,28.0,418.0,397.0
4_MS_42,500,461,4,35.0,21.0,433.0,412.0
4_MT_41,500,431,4,77.0,47.0,342.0,324.0
4_MT_42,500,483,4,44.0,28.0,408.0,406.0
4_MT_43,500,498,4,29.0,15.0,443.0,461.0
50_MT_501,500,889,50,53.0,42.0,403.0,785.0
51_MT_511,500,802,51,66.0,42.0,377.0,707.0
52_MT_521,500,555,52,58.0,43.0,403.0,464.0
53_MT_531,500,477,53,31.0,22.0,443.0,412.0
54_MT_541,500,509,54,28.0,28.0,447.0,440.0
55_MT_551,500,528,55,44.0,38.0,417.0,441.0
56_MT_561,500,509,56,40.0,26.0,420.0,447.0
5_MS_51,500,477,5,54.0,47.0,384.0,358.0
5_MS_52,500,436,5,50.0,19.0,402.0,384.0
5_MT_51,500,385,5,122.0,65.0,258.0,241.0
5_MT_52,500,461,5,91.0,71.0,326.0,315.0
5_MT_53,500,490,5,50.0,41.0,401.0,415.0
6_MS_61,500,294,6,43.0,44.0,402.0,202.0
6_MS_62,500,315,6,20.0,22.0,452.0,266.0
6_MT_61,500,312,6,63.0,66.0,363.0,191.0
6_MT_62,500,310,6,25.0,20.0,449.0,259.0
7_MS_71,500,266,7,51.0,34.0,400.0,198.0
7_MS_72,500,292,7,25.0,16.0,449.0,257.0
7_MT_71,500,315,7,61.0,66.0,352.0,165.0
7_MT_72,500,349,7,41.0,69.0,406.0,205.0
7_MT_73,500,286,7,28.0,27.0,436.0,229.0
8_MS_81,500,523,8,59.0,47.0,378.0,405.0
8_MS_82,500,507,8,41.0,18.0,418.0,457.0
8_MT_81,500,426,8,123.0,58.0,284.0,303.0
8_MT_82,500,515,8,58.0,40.0,364.0,404.0
8_MT_83,500,507,8,48.0,30.0,410.0,438.0
9_MS_91,500,511,9,93.0,85.0,314.0,330.0
9_MS_92,500,526,9,41.0,25.0,406.0,463.0
9_MT_91,500,462,9,159.0,116.0,216.0,227.0
9_MT_92,500,387,9,107.0,69.0,253.0,265.0
9_MT_93,500,472,9,38.0,22.0,431.0,423.0
input,1920,1277,input,575.0,291.0,994.0,986.0
