epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.919,0.89603,6.46615,1.46153,0.57758,0.06452,0.06308,0.06179,0.41484,6.84522,1.23868,6.56e-06,6.56e-06,6.56e-06
2,216.89,0.78685,5.47085,1.36064,0.48149,0.0802,0.06449,0.06356,0.3906,6.37798,1.21391,1.38744e-05,1.38744e-05,1.38744e-05
3,317.745,0.74895,4.97673,1.4059,0.34529,0.1129,0.06657,0.06576,0.40169,6.62222,1.20143,2.02048e-05,2.02048e-05,2.02048e-05
4,418.951,0.65044,4.57348,1.30552,0.20242,0.06619,0.02575,0.02495,0.3922,7.43126,1.16077,2.55512e-05,2.55512e-05,2.55512e-05
5,520.57,0.55115,4.23419,1.2029,0.04313,0.24194,0.09105,0.08578,0.37083,8.40972,1.11588,2.99136e-05,2.99136e-05,2.99136e-05
6,620.961,0.61713,5.67807,1.26827,0.25126,0.16129,0.10451,0.09893,0.40232,8.38766,1.13517,3.3292e-05,3.3292e-05,3.3292e-05
7,719.996,0.5015,4.98917,1.21568,0.33782,0.1129,0.09431,0.08934,0.39834,7.29219,1.11898,3.56864e-05,3.56864e-05,3.56864e-05
8,818.427,0.39151,4.5627,1.13379,0.53657,0.20968,0.15368,0.14709,0.40882,6.54106,1.12244,3.70968e-05,3.70968e-05,3.70968e-05
9,917.238,0.38051,4.30711,1.08949,0.55861,0.27419,0.24323,0.21275,0.40383,5.71654,1.09661,3.75232e-05,3.75232e-05,3.75232e-05
10,1013.45,0.31522,3.86868,1.05652,0.77133,0.17104,0.28198,0.26955,0.34749,4.9484,1.01247,3.69656e-05,3.69656e-05,3.69656e-05
11,1108.96,0.26883,3.77274,1.02014,0.35561,0.34863,0.28733,0.27302,0.33145,4.68421,0.9897,3.5424e-05,3.5424e-05,3.5424e-05
12,1204.88,0.31059,3.68964,1.05838,0.3267,0.29032,0.29197,0.27718,0.32345,4.42866,0.97929,3.28984e-05,3.28984e-05,3.28984e-05
13,1308.09,0.30803,3.60784,1.04392,0.35411,0.35554,0.3257,0.31139,0.30233,4.35206,0.95958,2.93888e-05,2.93888e-05,2.93888e-05
14,1421.09,0.28168,3.52123,1.05775,0.52248,0.24538,0.35217,0.33461,0.28891,4.22774,0.94264,2.48952e-05,2.48952e-05,2.48952e-05
15,1530.58,0.27448,3.44504,1.03522,0.43404,0.27419,0.37376,0.35717,0.27611,4.14088,0.93422,1.94176e-05,1.94176e-05,1.94176e-05
