Pill_id,Status,Type,Shape,Color,Number of images,Imprint front,Imprint back,Wood_background,Flat background,Texture background,Duplicate with
0,Checked,Capsule,None,Gray/Green,18,0,0,1,1,0,None
1,Checked,Tablet,Rounded Rectangle,Pink,18,1,1,1,1,0,None
2,Checked,Tablet,Rounded,Orange,18,0,0,1,1,0,None
3,Checked,Soft Capsule,None,Dark green,18,0,0,1,1,0,None
4,Checked,Tablet,Rounded,White,18,1,0,1,1,0,None
5,Checked,Capsule,None,Yellow/Orange,18,0,0,1,1,0,None
6,Checked,Capsule,None,Red/White,18,0,0,1,1,0,None
7,Checked,Capsule,None,Green,18,0,0,1,1,0,None
8,Checked,Capsule,None,White/Green,18,0,0,1,1,0,None
9,Checked,Capsule,None,White/Pink,18,0,0,1,1,0,None
10,Checked,Tablet,Hexagonal,White,18,0,0,1,1,0,None
11,Checked,Tablet,Rounded Rectangle,Yellow,18,1,0,1,1,0,None
12,Checked,Tablet,Rounded,Yellow,18,1,0,1,1,0,None
13,Checked,Tablet,Rounded,Orange,18,0,0,1,1,0,2
14,Checked,Capsule,None,Light Brown,18,0,0,1,1,0,None
15,Checked,Tablet,Rounded Belved Edge,White,18,0,0,1,1,0,None
16,Checked,Capsule,None,White/Yellow,18,0,0,1,1,0,None
17,Checked,Tablet,Rounded Belved Edge,Pink,18,1,0,1,1,0,None
18,Checked,Tablet,Rounded Rectangle,Blue,18,1,0,1,1,0,None
19,Checked,Tablet,Rounded,Dark Blue,18,0,0,1,1,0,None
20,Checked,Tablet,Rounded Rectangle,Blue,18,1,1,1,1,0,None
21,Checked,Tablet,Triangle,Orange,18,0,0,1,1,0,None
22,Checked,Tablet,Rounded,Green,18,0,0,1,1,0,None
23,Checked,Tablet,Rounded,Yellow,18,0,0,1,1,0,None
24,Checked,Tablet,Rounded Belved Edge Rectangle,White,18,0,0,1,1,0,None
25,Checked,Tablet,Rounded,White,18,0,0,1,1,0,None
26,Checked,Tablet,Oval,White,18,0,0,1,1,0,None
