epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6708,0.94644,12.4256,1.37709,0.51935,0.08699,0.0472,0.04563,0.60478,7.82853,1.17644,3.213e-05,3.213e-05,3.213e-05
2,93.3028,0.86932,7.09549,1.34009,0.39882,0.15914,0.08491,0.08137,0.6174,20.3283,1.19467,6.63038e-05,6.63038e-05,6.63038e-05
3,139.477,0.75098,4.6291,1.22745,0.19697,0.37347,0.20496,0.20403,0.56261,6.76391,1.08132,9.88711e-05,9.88711e-05,9.88711e-05
4,183.168,0.80636,3.71873,1.25217,0.45317,0.35863,0.36729,0.35865,0.60617,3.43473,1.09108,0.000129832,0.000129832,0.000129832
5,236.124,0.78045,3.1745,1.20897,0.27906,0.61421,0.42765,0.4149,0.58027,2.93946,1.0546,0.000159186,0.000159186,0.000159186
6,284.814,0.78268,2.86353,1.1996,0.41574,0.55209,0.48941,0.47454,0.54929,2.28036,1.01938,0.000186934,0.000186934,0.000186934
7,333.611,0.79593,2.6651,1.2103,0.54113,0.4919,0.49546,0.48269,0.51979,2.18629,0.99728,0.000213075,0.000213075,0.000213075
8,382.29,0.80693,2.53519,1.21633,0.40162,0.58962,0.52462,0.50228,0.56508,2.0688,1.01989,0.00023761,0.00023761,0.00023761
9,437.134,0.6911,2.24796,1.14668,0.34181,0.63616,0.49936,0.47707,0.55732,2.11666,1.01905,0.000260539,0.000260539,0.000260539
10,486.308,0.71657,2.19387,1.13702,0.41645,0.59085,0.4913,0.47575,0.58087,1.89326,1.04134,0.00028186,0.00028186,0.00028186
11,532.217,0.71614,2.23608,1.1559,0.4973,0.57554,0.51143,0.47573,0.61345,1.96734,1.05503,0.000276675,0.000276675,0.000276675
12,577.448,0.74084,2.21975,1.17316,0.38658,0.70253,0.55851,0.53808,0.5698,1.7643,1.03904,0.000268642,0.000268642,0.000268642
13,630.47,0.73094,2.0171,1.16434,0.37778,0.69055,0.58051,0.56109,0.58339,1.7333,1.06193,0.00026061,0.00026061,0.00026061
14,674.404,0.76192,1.90955,1.17284,0.40962,0.61051,0.55832,0.54007,0.60193,1.89081,1.0753,0.000252577,0.000252577,0.000252577
15,717.975,0.74619,1.80671,1.18983,0.67726,0.58975,0.58508,0.56191,0.59088,1.69,1.07389,0.000244545,0.000244545,0.000244545
16,761.521,0.64144,1.66052,1.12635,0.6213,0.59895,0.61615,0.59279,0.5775,1.76543,1.06045,0.000236512,0.000236512,0.000236512
17,809.885,0.70393,1.76448,1.16076,0.6522,0.57734,0.60408,0.57869,0.59942,1.80999,1.06811,0.00022848,0.00022848,0.00022848
18,853.263,0.6286,1.53042,1.11562,0.68764,0.54706,0.60977,0.57933,0.55666,1.7581,1.04639,0.000220447,0.000220447,0.000220447
19,896.502,0.62186,1.49852,1.09959,0.48903,0.59897,0.55369,0.54159,0.52431,1.70553,1.0103,0.000212415,0.000212415,0.000212415
20,940.128,0.67434,1.59298,1.14458,0.67893,0.60865,0.61252,0.59766,0.52722,1.50844,1.00476,0.000204383,0.000204383,0.000204383
21,987.841,0.65632,1.4492,1.13162,0.54735,0.66964,0.62168,0.60408,0.5422,1.55455,1.03624,0.00019635,0.00019635,0.00019635
22,1030.84,0.71535,1.54807,1.18444,0.57628,0.66749,0.60644,0.5823,0.56577,1.54268,1.06118,0.000188318,0.000188318,0.000188318
23,1073.76,0.63273,1.46052,1.11956,0.60916,0.6717,0.63612,0.60125,0.54098,1.54371,1.04084,0.000180285,0.000180285,0.000180285
