epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.897,0.61614,8.30702,1.08018,0.01498,0.35795,0.03236,0.03203,0.2567,6.20686,0.83972,2.508e-05,2.508e-05,2.508e-05
2,257.782,0.4444,4.84294,0.98148,0.19929,0.33298,0.13421,0.13347,0.22344,4.66942,0.81544,5.03217e-05,5.03217e-05,5.03217e-05
3,364.899,0.39267,3.69174,0.93113,0.20981,0.42701,0.30248,0.29655,0.24621,2.44842,0.82769,7.43754e-05,7.43754e-05,7.43754e-05
4,459.247,0.3768,3.04818,0.92417,0.3346,0.43912,0.3921,0.38326,0.2462,2.06271,0.82478,9.72411e-05,9.72411e-05,9.72411e-05
5,552.487,0.37148,2.60496,0.90862,0.52082,0.54754,0.5796,0.56551,0.25599,1.6382,0.82421,0.000118919,0.000118919,0.000118919
6,645.992,0.36683,2.24543,0.91024,0.49729,0.71593,0.6881,0.67177,0.25389,1.456,0.82724,0.00011715,0.00011715,0.00011715
7,739.924,0.35677,1.93649,0.88782,0.56401,0.71059,0.7229,0.71288,0.23903,1.35822,0.8121,0.00011418,0.00011418,0.00011418
8,835.35,0.3607,1.6219,0.89291,0.76378,0.71144,0.84417,0.83042,0.23201,1.04912,0.81596,0.00011121,0.00011121,0.00011121
9,930.099,0.32924,1.49728,0.88322,0.66462,0.77682,0.84302,0.82949,0.23325,1.00713,0.81239,0.00010824,0.00010824,0.00010824
10,1024.28,0.33932,1.35399,0.88869,0.78719,0.81316,0.88596,0.87358,0.22256,0.83556,0.81556,0.00010527,0.00010527,0.00010527
11,1118.79,0.3106,1.23152,0.85958,0.64529,0.8503,0.88262,0.86656,0.2333,0.90716,0.81167,0.0001023,0.0001023,0.0001023
12,1213.09,0.32076,1.14862,0.86889,0.84956,0.82734,0.91169,0.9006,0.2135,0.74666,0.80318,9.933e-05,9.933e-05,9.933e-05
13,1308.05,0.31225,1.14789,0.87624,0.72329,0.83967,0.89191,0.88182,0.21136,0.81756,0.80229,9.636e-05,9.636e-05,9.636e-05
14,1402.13,0.31662,1.05296,0.87049,0.82553,0.87306,0.93476,0.92255,0.20326,0.64346,0.78929,9.339e-05,9.339e-05,9.339e-05
15,1497.14,0.30354,0.95572,0.86958,0.77474,0.87142,0.92702,0.91733,0.19524,0.66932,0.78636,9.042e-05,9.042e-05,9.042e-05
16,1592.62,0.28761,0.92537,0.86255,0.85886,0.8651,0.91811,0.90883,0.20214,0.63352,0.79442,8.745e-05,8.745e-05,8.745e-05
17,1686.17,0.28367,0.84376,0.85715,0.80555,0.88102,0.92346,0.91335,0.2063,0.58669,0.79738,8.448e-05,8.448e-05,8.448e-05
18,1780.29,0.27908,0.83852,0.85377,0.87261,0.88785,0.94588,0.93494,0.19978,0.54636,0.79768,8.151e-05,8.151e-05,8.151e-05
19,1874.98,0.28045,0.76635,0.86224,0.81195,0.90182,0.95565,0.94659,0.19367,0.55016,0.79298,7.854e-05,7.854e-05,7.854e-05
20,1966.96,0.28835,0.77288,0.86677,0.85764,0.90917,0.94971,0.94381,0.18795,0.516,0.7896,7.557e-05,7.557e-05,7.557e-05
